Date,Series,Value
2020-03-06,Total Monitored Articles,478147
2020-03-07,Article Count,2
2020-03-07,Total Monitored Articles,300639
2020-03-08,Article Count,0
2020-03-08,Total Monitored Articles,276178
2020-03-09,Article Count,4
2020-03-09,Total Monitored Articles,452224
2020-03-10,Article Count,4
2020-03-10,Total Monitored Articles,491836
2020-03-11,Article Count,2
2020-03-11,Total Monitored Articles,512593
2020-03-12,Article Count,8
2020-03-12,Total Monitored Articles,538498
2020-03-13,Article Count,3
2020-03-13,Total Monitored Articles,502203
2020-03-14,Article Count,2
2020-03-14,Total Monitored Articles,314890
2020-03-15,Article Count,2
2020-03-15,Total Monitored Articles,303076
2020-03-16,Article Count,3
2020-03-16,Total Monitored Articles,494418
2020-03-17,Article Count,4
2020-03-17,Total Monitored Articles,528913
2020-03-18,Article Count,2
2020-03-18,Total Monitored Articles,542500
2020-03-19,Article Count,5
2020-03-19,Total Monitored Articles,535707
2020-03-20,Article Count,3
2020-03-20,Total Monitored Articles,518601
2020-03-21,Article Count,1
2020-03-21,Total Monitored Articles,329009
2020-03-22,Article Count,0
2020-03-22,Total Monitored Articles,302307
2020-03-23,Article Count,1
2020-03-23,Total Monitored Articles,496911
2020-03-24,Article Count,3
2020-03-24,Total Monitored Articles,528786
2020-03-25,Article Count,1
2020-03-25,Total Monitored Articles,527870
2020-03-26,Article Count,9
2020-03-26,Total Monitored Articles,533637
2020-03-27,Article Count,4
2020-03-27,Total Monitored Articles,511780
2020-03-28,Article Count,0
2020-03-28,Total Monitored Articles,318590
2020-03-29,Article Count,0
2020-03-29,Total Monitored Articles,294367
2020-03-30,Article Count,5
2020-03-30,Total Monitored Articles,494278
2020-03-31,Article Count,4
2020-03-31,Total Monitored Articles,536528
2020-04-01,Article Count,5
2020-04-01,Total Monitored Articles,526181
2020-04-02,Article Count,3
2020-04-02,Total Monitored Articles,526650
2020-04-03,Article Count,1
2020-04-03,Total Monitored Articles,489506
2020-04-04,Article Count,0
2020-04-04,Total Monitored Articles,314741
2020-04-05,Article Count,0
2020-04-05,Total Monitored Articles,278845
2020-04-06,Article Count,4
2020-04-06,Total Monitored Articles,466453
2020-04-07,Article Count,1
2020-04-07,Total Monitored Articles,502840
2020-04-08,Article Count,1
2020-04-08,Total Monitored Articles,505760
2020-04-09,Article Count,3
2020-04-09,Total Monitored Articles,491531
2020-04-10,Article Count,2
2020-04-10,Total Monitored Articles,429373
2020-04-11,Article Count,1
2020-04-11,Total Monitored Articles,296128
2020-04-12,Article Count,0
2020-04-12,Total Monitored Articles,265057
2020-04-13,Article Count,1
2020-04-13,Total Monitored Articles,406443
2020-04-14,Article Count,1
2020-04-14,Total Monitored Articles,489924
2020-04-15,Article Count,1
2020-04-15,Total Monitored Articles,501959
2020-04-16,Article Count,6
2020-04-16,Total Monitored Articles,509304
2020-04-17,Article Count,3
2020-04-17,Total Monitored Articles,480693
2020-04-18,Article Count,2
2020-04-18,Total Monitored Articles,304292
2020-04-19,Article Count,0
2020-04-19,Total Monitored Articles,275929
2020-04-20,Article Count,1
2020-04-20,Total Monitored Articles,449779
2020-04-21,Article Count,3
2020-04-21,Total Monitored Articles,493907
2020-04-22,Article Count,9
2020-04-22,Total Monitored Articles,508327
2020-04-23,Article Count,10
2020-04-23,Total Monitored Articles,511941
2020-04-24,Article Count,1
2020-04-24,Total Monitored Articles,485132
2020-04-25,Article Count,3
2020-04-25,Total Monitored Articles,302795
2020-04-26,Article Count,1
2020-04-26,Total Monitored Articles,280277
2020-04-27,Article Count,5
2020-04-27,Total Monitored Articles,458976
2020-04-28,Article Count,2
2020-04-28,Total Monitored Articles,498612
2020-04-29,Article Count,11
2020-04-29,Total Monitored Articles,501705
2020-04-30,Article Count,18
2020-04-30,Total Monitored Articles,505330
2020-05-01,Article Count,6
2020-05-01,Total Monitored Articles,400582
2020-05-02,Article Count,2
2020-05-02,Total Monitored Articles,290042
2020-05-03,Article Count,0
2020-05-03,Total Monitored Articles,268470
2020-05-04,Article Count,10
2020-05-04,Total Monitored Articles,433281
2020-05-05,Article Count,28
2020-05-05,Total Monitored Articles,478705
2020-05-06,Article Count,22
2020-05-06,Total Monitored Articles,497321
2020-05-07,Article Count,8
2020-05-07,Total Monitored Articles,497932
2020-05-08,Article Count,3
2020-05-08,Total Monitored Articles,477019
2020-05-09,Article Count,2
2020-05-09,Total Monitored Articles,310997
2020-05-10,Article Count,2
2020-05-10,Total Monitored Articles,270463
2020-05-11,Article Count,2
2020-05-11,Total Monitored Articles,441496
2020-05-12,Article Count,0
2020-05-12,Total Monitored Articles,490850
2020-05-13,Article Count,19
2020-05-13,Total Monitored Articles,497828
2020-05-14,Article Count,7
2020-05-14,Total Monitored Articles,494390
2020-05-15,Article Count,5
2020-05-15,Total Monitored Articles,461984
2020-05-16,Article Count,1
2020-05-16,Total Monitored Articles,300044
2020-05-17,Article Count,1
2020-05-17,Total Monitored Articles,265906
2020-05-18,Article Count,2
